Plot Title: CCP,,
#,"Date Time, GMT-05:00",Temp. °F (LGR S/N: 20462604. SEN S/N: 20462604)
2865,2/24/2019 2:00,61
2866,2/24/2019 2:30,61
2867,2/24/2019 3:00,61
2868,2/24/2019 3:30,61
2869,2/24/2019 4:00,61
2870,2/24/2019 4:30,61
2871,2/24/2019 5:00,61
2872,2/24/2019 5:30,61
2873,2/24/2019 6:00,61
2874,2/24/2019 6:30,61
2875,2/24/2019 7:00,61
2876,2/24/2019 7:30,61
2877,2/24/2019 8:00,61
2878,2/24/2019 8:30,61
2879,2/24/2019 9:00,61
2880,2/24/2019 9:30,61
2881,2/24/2019 10:00,61
2882,2/24/2019 10:30,61
2883,2/24/2019 11:00,61
2884,2/24/2019 11:30,62
2885,2/24/2019 12:00,62
2886,2/24/2019 12:30,62
2887,2/24/2019 13:00,63
2888,2/24/2019 13:30,63
2889,2/24/2019 14:00,63
2890,2/24/2019 14:30,64
2891,2/24/2019 15:00,64
2892,2/24/2019 15:30,63
2893,2/24/2019 16:00,64
2894,2/24/2019 16:30,63
2895,2/24/2019 17:00,63
2896,2/24/2019 17:30,63
2897,2/24/2019 18:00,64
2898,2/24/2019 18:30,63
2899,2/24/2019 19:00,63
2900,2/24/2019 19:30,63
2901,2/24/2019 20:00,62
2902,2/24/2019 20:30,62
2903,2/24/2019 21:00,62
2904,2/24/2019 21:30,62
2905,2/24/2019 22:00,62
2906,2/24/2019 22:30,61
2907,2/24/2019 23:00,61
2908,2/24/2019 23:30,61
2909,2/25/2019 0:00,61
2910,2/25/2019 0:30,61
2911,2/25/2019 1:00,61
2912,2/25/2019 1:30,61
2913,2/25/2019 2:00,61
2914,2/25/2019 2:30,61
2915,2/25/2019 3:00,60
2916,2/25/2019 3:30,60
2917,2/25/2019 4:00,60
2918,2/25/2019 4:30,60
2919,2/25/2019 5:00,60
2920,2/25/2019 5:30,60
2921,2/25/2019 6:00,60
2922,2/25/2019 6:30,60
2923,2/25/2019 7:00,60
2924,2/25/2019 7:30,60
2925,2/25/2019 8:00,60
2926,2/25/2019 8:30,60
2927,2/25/2019 9:00,60
2928,2/25/2019 9:30,60
2929,2/25/2019 10:00,60
2930,2/25/2019 10:30,61
2931,2/25/2019 11:00,61
2932,2/25/2019 11:30,61
2933,2/25/2019 12:00,61
2934,2/25/2019 12:30,61
2935,2/25/2019 13:00,62
2936,2/25/2019 13:30,62
2937,2/25/2019 14:00,62
2938,2/25/2019 14:30,62
2939,2/25/2019 15:00,62
2940,2/25/2019 15:30,63
2941,2/25/2019 16:00,62
2942,2/25/2019 16:30,62
2943,2/25/2019 17:00,62
2944,2/25/2019 17:30,62
2945,2/25/2019 18:00,62
2946,2/25/2019 18:30,62
2947,2/25/2019 19:00,62
2948,2/25/2019 19:30,62
2949,2/25/2019 20:00,62
2950,2/25/2019 20:30,61
2951,2/25/2019 21:00,61
2952,2/25/2019 21:30,60
2953,2/25/2019 22:00,60
2954,2/25/2019 22:30,60
2955,2/25/2019 23:00,60
2956,2/25/2019 23:30,60
2957,2/26/2019 0:00,60
2958,2/26/2019 0:30,60
2959,2/26/2019 1:00,60
2960,2/26/2019 1:30,60
2961,2/26/2019 2:00,60
2962,2/26/2019 2:30,60
2963,2/26/2019 3:00,60
2964,2/26/2019 3:30,60
2965,2/26/2019 4:00,60
2966,2/26/2019 4:30,60
2967,2/26/2019 5:00,60
2968,2/26/2019 5:30,60
2969,2/26/2019 6:00,60
2970,2/26/2019 6:30,60
2971,2/26/2019 7:00,59
