Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
846,2/17/2019 0:30,67.906,,,,
847,2/17/2019 1:00,67.564,,,,
848,2/17/2019 1:30,67.392,,,,
849,2/17/2019 2:00,67.05,,,,
850,2/17/2019 2:30,67.05,,,,
851,2/17/2019 3:00,67.05,,,,
852,2/17/2019 3:30,66.879,,,,
853,2/17/2019 4:00,66.708,,,,
854,2/17/2019 4:30,66.879,,,,
855,2/17/2019 5:00,66.879,,,,
856,2/17/2019 5:30,67.05,,,,
857,2/17/2019 6:00,67.05,,,,
858,2/17/2019 6:30,66.879,,,,
859,2/17/2019 7:00,66.879,,,,
860,2/17/2019 7:30,67.05,,,,
861,2/17/2019 8:00,67.05,,,,
862,2/17/2019 8:30,67.05,,,,
863,2/17/2019 9:00,66.879,,,,
864,2/17/2019 9:30,66.879,,,,
865,2/17/2019 10:00,66.708,,,,
866,2/17/2019 10:30,66.366,,,,
867,2/17/2019 11:00,66.366,,,,
868,2/17/2019 11:30,66.537,,,,
869,2/17/2019 12:00,67.05,,,,
870,2/17/2019 12:30,66.879,,,,
871,2/17/2019 13:00,67.05,,,,
872,2/17/2019 13:30,68.248,,,,
873,2/17/2019 14:00,67.735,,,,
874,2/17/2019 14:30,67.906,,,,
875,2/17/2019 15:00,67.906,,,,
876,2/17/2019 15:30,68.077,,,,
877,2/17/2019 16:00,67.735,,,,
878,2/17/2019 16:30,67.735,,,,
879,2/17/2019 17:00,67.392,,,,
880,2/17/2019 17:30,67.221,,,,
881,2/17/2019 18:00,67.221,,,,
882,2/17/2019 18:30,67.221,,,,
883,2/17/2019 19:00,67.221,,,,
884,2/17/2019 19:30,68.077,,,,
885,2/17/2019 20:00,67.906,,,,
886,2/17/2019 20:30,67.735,,,,
887,2/17/2019 21:00,67.735,,,,
888,2/17/2019 21:30,67.392,,,,
889,2/17/2019 22:00,67.392,,,,
890,2/17/2019 22:30,67.221,,,,
891,2/17/2019 23:00,66.537,,,,
892,2/17/2019 23:30,66.022,,,,
893,2/18/2019 0:00,66.537,,,,
894,2/18/2019 0:30,66.022,,,,
895,2/18/2019 1:00,65.68,,,,
896,2/18/2019 1:30,65.68,,,,
897,2/18/2019 2:00,65.68,,,,
898,2/18/2019 2:30,65.68,,,,
899,2/18/2019 3:00,65.68,,,,
900,2/18/2019 3:30,65.509,,,,
901,2/18/2019 4:00,65.509,,,,
902,2/18/2019 4:30,65.338,,,,
903,2/18/2019 5:00,65.167,,,,
904,2/18/2019 5:30,65.509,,,,
905,2/18/2019 6:00,65.338,,,,
906,2/18/2019 6:30,65.167,,,,
907,2/18/2019 7:00,65.167,,,,
908,2/18/2019 7:30,65.167,,,,
909,2/18/2019 8:00,65.167,,,,
910,2/18/2019 8:30,64.996,,,,
911,2/18/2019 9:00,64.996,,,,
912,2/18/2019 9:30,64.996,,,,
913,2/18/2019 10:00,64.825,,,,
914,2/18/2019 10:30,64.825,,,,
915,2/18/2019 11:00,64.825,,,,
916,2/18/2019 11:30,64.825,,,,
917,2/18/2019 12:00,64.996,,,,
918,2/18/2019 12:30,64.996,,,,
919,2/18/2019 13:00,64.481,,,,
920,2/18/2019 13:30,64.481,,,,
921,2/18/2019 14:00,64.481,,,,
922,2/18/2019 14:30,64.139,,,,
923,2/18/2019 15:00,64.139,,,,
924,2/18/2019 15:30,63.968,,,,
925,2/18/2019 16:00,63.968,,,,
926,2/18/2019 16:30,64.139,,,,
927,2/18/2019 17:00,63.797,,,,
928,2/18/2019 17:30,63.626,,,,
929,2/18/2019 18:00,63.455,,,,
930,2/18/2019 18:30,64.139,,,,
931,2/18/2019 19:00,64.139,,,,
932,2/18/2019 19:30,64.139,,,,
933,2/18/2019 20:00,64.139,,,,
934,2/18/2019 20:30,64.139,,,,
935,2/18/2019 21:00,64.31,,,,
936,2/18/2019 21:30,64.139,,,,
937,2/18/2019 22:00,63.797,,,,
938,2/18/2019 22:30,63.111,,,,
939,2/18/2019 23:00,63.282,,,,
940,2/18/2019 23:30,62.769,,,,
941,2/19/2019 0:00,62.425,,,,
942,2/19/2019 0:30,62.425,,,,
943,2/19/2019 1:00,62.083,,,,
944,2/19/2019 1:30,62.769,,,,
945,2/19/2019 2:00,63.111,,,,
946,2/19/2019 2:30,62.254,,,,
947,2/19/2019 3:00,62.254,,,,
948,2/19/2019 3:30,61.912,,,,
949,2/19/2019 4:00,61.912,,,,
950,2/19/2019 4:30,61.912,,,,
951,2/19/2019 5:00,62.083,,,,
952,2/19/2019 5:30,62.425,,,,
953,2/19/2019 6:00,62.425,,,,
954,2/19/2019 6:30,62.425,,,,
955,2/19/2019 7:00,62.254,,,,
956,2/19/2019 7:30,62.254,,,,
957,2/19/2019 8:00,62.254,,,,
958,2/19/2019 8:30,62.425,,,,
959,2/19/2019 9:00,62.425,,,,
960,2/19/2019 9:30,62.598,,,,
961,2/19/2019 10:00,62.769,,,,
962,2/19/2019 10:30,62.425,,,,
963,2/19/2019 11:00,62.254,,,,
964,2/19/2019 11:30,61.912,,,,
965,2/19/2019 12:00,61.912,,,,
966,2/19/2019 12:30,62.254,,,,
967,2/19/2019 13:00,63.111,,,,
968,2/19/2019 13:30,62.598,,,,
969,2/19/2019 14:00,63.111,,,,
970,2/19/2019 14:30,63.282,,,,
971,2/19/2019 15:00,63.111,,,,
972,2/19/2019 15:30,63.282,,,,
973,2/19/2019 16:00,63.455,,,,
974,2/19/2019 16:30,62.94,,,,
975,2/19/2019 17:00,63.626,,,,
976,2/19/2019 17:30,63.282,,,,
977,2/19/2019 18:00,63.111,,,,
978,2/19/2019 18:30,62.769,,,,
979,2/19/2019 19:00,63.797,,,,
980,2/19/2019 19:30,63.282,,,,
981,2/19/2019 20:00,63.282,,,,
982,2/19/2019 20:30,62.598,,,,
983,2/19/2019 21:00,62.598,,,,
984,2/19/2019 21:30,62.598,,,,
985,2/19/2019 22:00,62.94,,,,
986,2/19/2019 22:30,62.425,,,,
987,2/19/2019 23:00,62.083,,,,
988,2/19/2019 23:30,62.254,,,,
989,2/20/2019 0:00,62.425,,,,
990,2/20/2019 0:30,61.227,,,,
991,2/20/2019 1:00,61.741,,,,
992,2/20/2019 1:30,61.741,,,,
993,2/20/2019 2:00,61.741,,,,
