Plot Title: Costa Rica,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350663, SEN S/N: 20350663)",End Of File (LGR S/N: 20350663)
1062,7/2/2018 12:30,29.853,
1063,7/2/2018 13:00,29.853,
1064,7/2/2018 13:30,29.953,
1065,7/2/2018 14:00,30.154,
1066,7/2/2018 14:30,29.953,
1067,7/2/2018 15:00,29.853,
1068,7/2/2018 15:30,29.752,
1069,7/2/2018 16:00,29.752,
1070,7/2/2018 16:30,29.752,
1071,7/2/2018 17:00,29.752,
1072,7/2/2018 17:30,29.752,
1073,7/2/2018 18:00,29.752,
1074,7/2/2018 18:30,29.752,
1075,7/2/2018 19:00,29.652,
1076,7/2/2018 19:30,29.652,
1077,7/2/2018 20:00,29.652,
1078,7/2/2018 20:30,29.652,
1079,7/2/2018 21:00,29.552,
1080,7/2/2018 21:30,29.652,
1081,7/2/2018 22:00,29.552,
1082,7/2/2018 22:30,29.652,
1083,7/2/2018 23:00,29.752,
1084,7/2/2018 23:30,29.752,
1085,7/3/2018 0:00,29.652,
1086,7/3/2018 0:30,29.652,
1087,7/3/2018 1:00,29.552,
1088,7/3/2018 1:30,29.552,
1089,7/3/2018 2:00,29.552,
1090,7/3/2018 2:30,29.552,
1091,7/3/2018 3:00,29.552,
1092,7/3/2018 3:30,29.552,
1093,7/3/2018 4:00,29.452,
1094,7/3/2018 4:30,29.452,
1095,7/3/2018 5:00,29.452,
1096,7/3/2018 5:30,29.452,
1097,7/3/2018 6:00,29.452,
1098,7/3/2018 6:30,29.452,
1099,7/3/2018 7:00,29.352,
1100,7/3/2018 7:30,29.352,
1101,7/3/2018 8:00,29.352,
1102,7/3/2018 8:30,29.452,
1103,7/3/2018 9:00,29.452,
1104,7/3/2018 9:30,29.452,
1105,7/3/2018 10:00,29.552,
1106,7/3/2018 10:30,29.652,
1107,7/3/2018 11:00,29.652,
1108,7/3/2018 11:30,29.652,
1109,7/3/2018 12:00,29.652,
1110,7/3/2018 12:30,29.752,
1111,7/3/2018 13:00,29.752,
1112,7/3/2018 13:30,29.853,
1113,7/3/2018 14:00,29.853,
1114,7/3/2018 14:30,29.853,
1115,7/3/2018 15:00,30.054,
1116,7/3/2018 15:30,29.953,
1117,7/3/2018 16:00,29.953,
1118,7/3/2018 16:30,29.853,
1119,7/3/2018 17:00,29.853,
1120,7/3/2018 17:30,29.752,
1121,7/3/2018 18:00,29.752,
1122,7/3/2018 18:30,29.652,
1123,7/3/2018 19:00,29.652,
1124,7/3/2018 19:30,29.552,
1125,7/3/2018 20:00,29.552,
1126,7/3/2018 20:30,29.552,
1127,7/3/2018 21:00,29.552,
1128,7/3/2018 21:30,29.452,
1129,7/3/2018 22:00,29.452,
1130,7/3/2018 22:30,29.352,
1131,7/3/2018 23:00,29.352,
1132,7/3/2018 23:30,29.252,
1133,7/4/2018 0:00,29.252,
1134,7/4/2018 0:30,29.252,
1135,7/4/2018 1:00,29.252,
1136,7/4/2018 1:30,29.152,
1137,7/4/2018 2:00,29.152,
1138,7/4/2018 2:30,29.152,
1139,7/4/2018 3:00,29.053,
1140,7/4/2018 3:30,29.053,
1141,7/4/2018 4:00,28.953,
1142,7/4/2018 4:30,28.953,
1143,7/4/2018 5:00,28.953,
1144,7/4/2018 5:30,28.953,
1145,7/4/2018 6:00,28.853,
1146,7/4/2018 6:30,28.853,
1147,7/4/2018 7:00,28.853,
1148,7/4/2018 7:30,28.853,
1149,7/4/2018 8:00,28.953,
1150,7/4/2018 8:30,29.053,
1151,7/4/2018 9:00,29.152,
1152,7/4/2018 9:30,29.152,
