Plot Title: Bocas,,
#,"Date Time, GMT-05:00","Temp, øC (LGR S/N: 20350662, SEN S/N: 20350662)"
169,03/07/2017 04:30,29.45222222
170,03/07/2017 05:00,29.45222222
171,03/07/2017 05:30,29.45222222
172,03/07/2017 06:00,29.45222222
173,03/07/2017 06:30,29.55222222
174,03/07/2017 07:00,29.55222222
175,03/07/2017 07:30,29.55222222
176,03/07/2017 08:00,29.55222222
177,03/07/2017 08:30,29.45222222
178,03/07/2017 09:00,29.45222222
179,03/07/2017 09:30,29.45222222
180,03/07/2017 10:00,29.65222222
181,03/07/2017 10:30,29.85277778
182,03/07/2017 11:00,30.05388889
183,03/07/2017 11:30,30.255
184,03/07/2017 12:00,30.45722222
185,03/07/2017 12:30,31.37
186,03/07/2017 13:00,31.37
187,03/07/2017 13:30,30.86222222
188,03/07/2017 14:00,30.96277778
189,03/07/2017 14:30,30.96277778
190,03/07/2017 15:00,30.96277778
191,03/07/2017 15:30,31.06388889
192,03/07/2017 16:00,30.96277778
193,03/07/2017 16:30,30.96277778
194,03/07/2017 17:00,31.06388889
195,03/07/2017 17:30,31.06388889
196,03/07/2017 18:00,30.96277778
197,03/07/2017 18:30,30.96277778
198,03/07/2017 19:00,30.86222222
199,03/07/2017 19:30,30.65888889
200,03/07/2017 20:00,30.65888889
201,03/07/2017 20:30,30.65888889
202,03/07/2017 21:00,30.55777778
203,03/07/2017 21:30,30.55777778
204,03/07/2017 22:00,30.45722222
205,03/07/2017 22:30,30.255
206,03/07/2017 23:00,30.255
207,03/07/2017 23:30,30.255
208,04/07/2017 00:00,30.255
209,04/07/2017 00:30,30.255
210,04/07/2017 01:00,30.255
211,04/07/2017 01:30,30.15388889
212,04/07/2017 02:00,30.15388889
213,04/07/2017 02:30,30.15388889
214,04/07/2017 03:00,30.15388889
215,04/07/2017 03:30,30.05388889
216,04/07/2017 04:00,30.05388889
217,04/07/2017 04:30,30.05388889
218,04/07/2017 05:00,29.95277778
219,04/07/2017 05:30,29.95277778
220,04/07/2017 06:00,29.95277778
221,04/07/2017 06:30,29.95277778
222,04/07/2017 07:00,29.95277778
223,04/07/2017 07:30,29.95277778
224,04/07/2017 08:00,29.95277778
225,04/07/2017 08:30,30.05388889
226,04/07/2017 09:00,30.15388889
227,04/07/2017 09:30,30.15388889
228,04/07/2017 10:00,30.86222222
229,04/07/2017 10:30,31.06388889
230,04/07/2017 11:00,31.37
231,04/07/2017 11:30,31.77777778
232,04/07/2017 12:00,31.57388889
233,04/07/2017 12:30,31.98277778
234,04/07/2017 13:00,32.49722222
235,04/07/2017 13:30,31.67611111
236,04/07/2017 14:00,31.57388889
237,04/07/2017 14:30,31.57388889
238,04/07/2017 15:00,31.88
239,04/07/2017 15:30,31.67611111
240,04/07/2017 16:00,31.57388889
241,04/07/2017 16:30,31.37
242,04/07/2017 17:00,31.26777778
243,04/07/2017 17:30,30.96277778
244,04/07/2017 18:00,31.16611111
245,04/07/2017 18:30,31.06388889
246,04/07/2017 19:00,30.96277778
247,04/07/2017 19:30,30.35611111
248,04/07/2017 20:00,30.55777778
249,04/07/2017 20:30,30.45722222
250,04/07/2017 21:00,30.45722222
251,04/07/2017 21:30,30.15388889
252,04/07/2017 22:00,30.15388889
253,04/07/2017 22:30,30.05388889
254,04/07/2017 23:00,29.95277778
255,04/07/2017 23:30,29.95277778
256,05/07/2017 00:00,29.95277778
257,05/07/2017 00:30,29.95277778
258,05/07/2017 01:00,29.95277778
259,05/07/2017 01:30,29.85277778
260,05/07/2017 02:00,29.95277778
261,05/07/2017 02:30,29.95277778
262,05/07/2017 03:00,29.85277778
263,05/07/2017 03:30,29.85277778
264,05/07/2017 04:00,29.55222222
265,05/07/2017 04:30,29.55222222
266,05/07/2017 05:00,29.55222222
267,05/07/2017 05:30,29.55222222
268,05/07/2017 06:00,29.55222222
269,05/07/2017 06:30,29.45222222
270,05/07/2017 07:00,29.35222222
271,05/07/2017 07:30,29.45222222
272,05/07/2017 08:00,29.35222222
273,05/07/2017 08:30,29.35222222
274,05/07/2017 09:00,29.25222222
275,05/07/2017 09:30,29.45222222
276,05/07/2017 10:00,29.35222222
277,05/07/2017 10:30,29.25222222
278,05/07/2017 11:00,29.15222222
279,05/07/2017 11:30,29.25222222
280,05/07/2017 12:00,29.35222222
281,05/07/2017 12:30,29.75222222
282,05/07/2017 13:00,29.65222222
283,05/07/2017 13:30,29.55222222
284,05/07/2017 14:00,29.65222222
285,05/07/2017 14:30,29.65222222
286,05/07/2017 15:00,29.95277778
287,05/07/2017 15:30,29.75222222
288,05/07/2017 16:00,29.95277778
289,05/07/2017 16:30,29.95277778
290,05/07/2017 17:00,29.65222222
291,05/07/2017 17:30,29.75222222
292,05/07/2017 18:00,29.75222222
293,05/07/2017 18:30,29.75222222
294,05/07/2017 19:00,29.55222222
295,05/07/2017 19:30,29.45222222
296,05/07/2017 20:00,29.45222222
297,05/07/2017 20:30,29.35222222
298,05/07/2017 21:00,29.25222222
299,05/07/2017 21:30,29.25222222
300,05/07/2017 22:00,29.25222222
301,05/07/2017 22:30,29.25222222
302,05/07/2017 23:00,29.25222222
303,05/07/2017 23:30,29.25222222
304,06/07/2017 00:00,29.25222222
305,06/07/2017 00:30,29.15222222
306,06/07/2017 01:00,28.95277778
307,06/07/2017 01:30,29.15222222
308,06/07/2017 02:00,28.75388889
309,06/07/2017 02:30,29.15222222
310,06/07/2017 03:00,28.85277778
311,06/07/2017 03:30,29.15222222
312,06/07/2017 04:00,29.15222222
313,06/07/2017 04:30,29.15222222
314,06/07/2017 05:00,29.15222222
315,06/07/2017 05:30,29.15222222
316,06/07/2017 06:00,29.15222222
317,06/07/2017 06:30,29.05277778
318,06/07/2017 07:00,29.05277778
319,06/07/2017 07:30,29.05277778
320,06/07/2017 08:00,29.15222222
321,06/07/2017 08:30,29.15222222
322,06/07/2017 09:00,29.05277778
323,06/07/2017 09:30,28.85277778
324,06/07/2017 10:00,28.45611111
325,06/07/2017 10:30,28.15888889
326,06/07/2017 11:00,28.25777778
327,06/07/2017 11:30,28.45611111
328,06/07/2017 12:00,28.75388889
329,06/07/2017 12:30,29.15222222
330,06/07/2017 13:00,29.35222222
331,06/07/2017 13:30,29.45222222
332,06/07/2017 14:00,29.55222222
333,06/07/2017 14:30,29.65222222
334,06/07/2017 15:00,29.95277778
335,06/07/2017 15:30,30.05388889
336,06/07/2017 16:00,30.15388889
337,06/07/2017 16:30,30.35611111
338,06/07/2017 17:00,30.35611111
339,06/07/2017 17:30,30.45722222
340,06/07/2017 18:00,30.35611111
341,06/07/2017 18:30,30.255
342,06/07/2017 19:00,30.15388889
343,06/07/2017 19:30,30.15388889
344,06/07/2017 20:00,30.05388889
345,06/07/2017 20:30,29.75222222
346,06/07/2017 21:00,29.75222222
347,06/07/2017 21:30,29.75222222
348,06/07/2017 22:00,29.65222222
349,06/07/2017 22:30,29.55222222
350,06/07/2017 23:00,29.65222222
351,06/07/2017 23:30,29.55222222
352,07/07/2017 00:00,29.55222222
353,07/07/2017 00:30,29.55222222
354,07/07/2017 01:00,29.55222222
355,07/07/2017 01:30,29.55222222
356,07/07/2017 02:00,29.55222222
357,07/07/2017 02:30,29.35222222
358,07/07/2017 03:00,29.25222222
359,07/07/2017 03:30,29.45222222
360,07/07/2017 04:00,29.45222222
361,07/07/2017 04:30,29.35222222
362,07/07/2017 05:00,29.35222222
363,07/07/2017 05:30,29.35222222
364,07/07/2017 06:00,29.25222222
365,07/07/2017 06:30,29.25222222
366,07/07/2017 07:00,29.05277778
367,07/07/2017 07:30,29.15222222
368,07/07/2017 08:00,29.05277778
369,07/07/2017 08:30,29.05277778
370,07/07/2017 09:00,29.05277778
371,07/07/2017 09:30,29.15222222
372,07/07/2017 10:00,29.15222222
373,07/07/2017 10:30,29.15222222
374,07/07/2017 11:00,29.25222222
375,07/07/2017 11:30,29.35222222
376,07/07/2017 12:00,29.55222222
377,07/07/2017 12:30,29.55222222
378,07/07/2017 13:00,29.65222222
379,07/07/2017 13:30,29.75222222
380,07/07/2017 14:00,29.85277778
381,07/07/2017 14:30,29.95277778
382,07/07/2017 15:00,29.95277778
383,07/07/2017 15:30,29.95277778
384,07/07/2017 16:00,30.05388889
385,07/07/2017 16:30,30.05388889
386,07/07/2017 17:00,29.95277778
387,07/07/2017 17:30,30.05388889
388,07/07/2017 18:00,29.85277778
389,07/07/2017 18:30,29.65222222
390,07/07/2017 19:00,29.65222222
391,07/07/2017 19:30,29.55222222
392,07/07/2017 20:00,29.55222222
393,07/07/2017 20:30,29.55222222
394,07/07/2017 21:00,29.65222222
395,07/07/2017 21:30,29.65222222
396,07/07/2017 22:00,29.55222222
397,07/07/2017 22:30,29.55222222
398,07/07/2017 23:00,29.45222222
399,07/07/2017 23:30,29.35222222
400,08/07/2017 00:00,29.35222222
401,08/07/2017 00:30,29.25222222
402,08/07/2017 01:00,29.25222222
403,08/07/2017 01:30,29.15222222
404,08/07/2017 02:00,29.25222222
405,08/07/2017 02:30,29.25222222
406,08/07/2017 03:00,29.25222222
407,08/07/2017 03:30,29.15222222
408,08/07/2017 04:00,29.15222222
