Plot Title: Coos Bay,,
#,"Date Time, GMT-05:00",Temp
1,21/06/2018,13.2
2,21/06/2018,10.6
3,21/06/2018,10.1
4,5/7/2018,14
5,5/7/2018,13.7
6,5/7/2018,13.4
7,17/07/2018,14.8
8,17/07/2018,13.5
9,17/07/2018,12.6
10,1/8/2018,12.7
11,1/8/2018,11.8
12,1/8/2018,11
13,16/08/2018,13.7
14,16/08/2018,13.4
15,16/08/2018,12.3
16,30/08/2018,11.3
17,30/08/2018,11
18,30/08/2018,10.7
19,24/09/2018,12.9
20,24/09/2018,12.5
21,24/09/2018,12.1
