Plot Title: Newport,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350664, SEN S/N: 20350664)","End Of File (LGR S/N: 20350664, SEN S/N: 20350664)"
1613,7/20/2018 4:00,12.98,
1614,7/20/2018 4:30,12.98,
1615,7/20/2018 5:00,12.98,
1616,7/20/2018 5:30,12.883,
1617,7/20/2018 6:00,12.883,
1618,7/20/2018 6:30,12.98,
1619,7/20/2018 7:00,12.98,
1620,7/20/2018 7:30,12.98,
1621,7/20/2018 8:00,12.69,
1622,7/20/2018 8:30,12.787,
1623,7/20/2018 9:00,12.787,
1624,7/20/2018 9:30,12.787,
1625,7/20/2018 10:00,12.883,
1626,7/20/2018 10:30,12.883,
1627,7/20/2018 11:00,12.883,
1628,7/20/2018 11:30,12.69,
1629,7/20/2018 12:00,12.594,
1630,7/20/2018 12:30,12.401,
1631,7/20/2018 13:00,12.497,
1632,7/20/2018 13:30,12.11,
1633,7/20/2018 14:00,12.207,
1634,7/20/2018 14:30,12.304,
1635,7/20/2018 15:00,12.69,
1636,7/20/2018 15:30,12.497,
1637,7/20/2018 16:00,12.497,
1638,7/20/2018 16:30,12.594,
1639,7/20/2018 17:00,12.883,
1640,7/20/2018 17:30,13.076,
1641,7/20/2018 18:00,13.173,
1642,7/20/2018 18:30,13.173,
1643,7/20/2018 19:00,13.365,
1644,7/20/2018 19:30,13.173,
1645,7/20/2018 20:00,13.269,
1646,7/20/2018 20:30,13.365,
1647,7/20/2018 21:00,13.173,
1648,7/20/2018 21:30,12.98,
1649,7/20/2018 22:00,12.883,
1650,7/20/2018 22:30,12.883,
1651,7/20/2018 23:00,12.594,
1652,7/20/2018 23:30,12.594,
1653,7/21/2018 0:00,12.497,
1654,7/21/2018 0:30,12.69,
1655,7/21/2018 1:00,12.594,
1656,7/21/2018 1:30,12.594,
1657,7/21/2018 2:00,12.69,
1658,7/21/2018 2:30,12.883,
1659,7/21/2018 3:00,12.883,
1660,7/21/2018 3:30,12.883,
1661,7/21/2018 4:00,12.883,
1662,7/21/2018 4:30,12.883,
1663,7/21/2018 5:00,12.883,
1664,7/21/2018 5:30,12.787,
1665,7/21/2018 6:00,12.787,
1666,7/21/2018 6:30,12.787,
1667,7/21/2018 7:00,12.883,
1668,7/21/2018 7:30,12.883,
1669,7/21/2018 8:00,12.787,
1670,7/21/2018 8:30,12.787,
1671,7/21/2018 9:00,12.69,
1672,7/21/2018 9:30,12.69,
1673,7/21/2018 10:00,12.594,
1674,7/21/2018 10:30,12.497,
1675,7/21/2018 11:00,12.69,
1676,7/21/2018 11:30,12.69,
1677,7/21/2018 12:00,12.69,
1678,7/21/2018 12:30,12.787,
1679,7/21/2018 13:00,12.787,
1680,7/21/2018 13:30,12.787,
1681,7/21/2018 14:00,12.497,
1682,7/21/2018 14:30,12.013,
1683,7/21/2018 15:00,12.013,
1684,7/21/2018 15:30,12.497,
1685,7/21/2018 16:00,12.883,
1686,7/21/2018 16:30,13.076,
1687,7/21/2018 17:00,12.98,
1688,7/21/2018 17:30,12.98,
1689,7/21/2018 18:00,13.173,
1690,7/21/2018 18:30,13.558,
1691,7/21/2018 19:00,13.461,
1692,7/21/2018 19:30,13.558,
1693,7/21/2018 20:00,13.558,
1694,7/21/2018 20:30,13.461,
1695,7/21/2018 21:00,13.558,
1696,7/21/2018 21:30,13.461,
1697,7/21/2018 22:00,13.365,
1698,7/21/2018 22:30,13.269,
1699,7/21/2018 23:00,12.98,
1700,7/21/2018 23:30,12.98,
1701,7/22/2018 0:00,12.98,
1702,7/22/2018 0:30,13.076,
1703,7/22/2018 1:00,13.173,
1704,7/22/2018 1:30,13.076,
1705,7/22/2018 2:00,13.076,
1706,7/22/2018 2:30,13.173,
1707,7/22/2018 3:00,13.173,
1708,7/22/2018 3:30,13.173,
1709,7/22/2018 4:00,13.173,
1710,7/22/2018 4:30,13.173,
1711,7/22/2018 5:00,13.173,
1712,7/22/2018 5:30,13.076,
1713,7/22/2018 6:00,13.076,
1714,7/22/2018 6:30,13.076,
1715,7/22/2018 7:00,12.98,
1716,7/22/2018 7:30,12.98,
1717,7/22/2018 8:00,12.98,
1718,7/22/2018 8:30,13.076,
1719,7/22/2018 9:00,12.98,
1720,7/22/2018 9:30,13.076,
1721,7/22/2018 10:00,12.69,
1722,7/22/2018 10:30,12.69,
1723,7/22/2018 11:00,12.594,
1724,7/22/2018 11:30,12.594,
1725,7/22/2018 12:00,12.69,
1726,7/22/2018 12:30,12.787,
1727,7/22/2018 13:00,12.787,
1728,7/22/2018 13:30,12.787,
1729,7/22/2018 14:00,12.497,
1730,7/22/2018 14:30,11.916,
1731,7/22/2018 15:00,11.916,
1732,7/22/2018 15:30,12.11,
1733,7/22/2018 16:00,12.11,
1734,7/22/2018 16:30,12.883,
1735,7/22/2018 17:00,12.304,
1736,7/22/2018 17:30,12.69,
1737,7/22/2018 18:00,12.401,
1738,7/22/2018 18:30,12.594,
1739,7/22/2018 19:00,12.69,
1740,7/22/2018 19:30,12.69,
1741,7/22/2018 20:00,12.883,
1742,7/22/2018 20:30,13.173,
1743,7/22/2018 21:00,13.076,
1744,7/22/2018 21:30,13.076,
1745,7/22/2018 22:00,12.98,
1746,7/22/2018 22:30,12.98,
1747,7/22/2018 23:00,13.076,
1748,7/22/2018 23:30,12.883,
1749,7/23/2018 0:00,12.594,
1750,7/23/2018 0:30,12.304,
1751,7/23/2018 1:00,12.401,
1752,7/23/2018 1:30,12.304,
1753,7/23/2018 2:00,12.207,
1754,7/23/2018 2:30,12.594,
1755,7/23/2018 3:00,12.787,
1756,7/23/2018 3:30,12.883,
1757,7/23/2018 4:00,12.98,
1758,7/23/2018 4:30,12.98,
1759,7/23/2018 5:00,12.98,
1760,7/23/2018 5:30,13.076,
1761,7/23/2018 6:00,12.98,
1762,7/23/2018 6:30,12.787,
1763,7/23/2018 7:00,12.69,
1764,7/23/2018 7:30,12.883,
1765,7/23/2018 8:00,12.883,
1766,7/23/2018 8:30,13.076,
1767,7/23/2018 9:00,13.076,
1768,7/23/2018 9:30,13.076,
1769,7/23/2018 10:00,13.076,
1770,7/23/2018 10:30,13.076,
1771,7/23/2018 11:00,12.883,
1772,7/23/2018 11:30,12.69,
1773,7/23/2018 12:00,12.787,
1774,7/23/2018 12:30,12.787,
1775,7/23/2018 13:00,12.787,
1776,7/23/2018 13:30,12.98,
1777,7/23/2018 14:00,12.883,
1778,7/23/2018 14:30,12.594,
1779,7/23/2018 15:00,12.207,
1780,7/23/2018 15:30,11.819,
1781,7/23/2018 16:00,11.722,
1782,7/23/2018 16:30,12.304,
1783,7/23/2018 17:00,12.594,
1784,7/23/2018 17:30,11.916,
1785,7/23/2018 18:00,12.013,
1786,7/23/2018 18:30,12.401,
1787,7/23/2018 19:00,12.69,
1788,7/23/2018 19:30,12.883,
1789,7/23/2018 20:00,12.69,
1790,7/23/2018 20:30,12.883,
1791,7/23/2018 21:00,12.98,
1792,7/23/2018 21:30,13.173,
1793,7/23/2018 22:00,12.883,
1794,7/23/2018 22:30,12.98,
1795,7/23/2018 23:00,12.98,
1796,7/23/2018 23:30,12.883,
1797,7/24/2018 0:00,12.883,
1798,7/24/2018 0:30,12.787,
1799,7/24/2018 1:00,12.497,
1800,7/24/2018 1:30,12.304,
1801,7/24/2018 2:00,12.304,
1802,7/24/2018 2:30,12.497,
1803,7/24/2018 3:00,12.497,
1804,7/24/2018 3:30,12.497,
1805,7/24/2018 4:00,12.69,
1806,7/24/2018 4:30,12.69,
1807,7/24/2018 5:00,12.787,
1808,7/24/2018 5:30,12.787,
1809,7/24/2018 6:00,12.787,
1810,7/24/2018 6:30,12.883,
1811,7/24/2018 7:00,12.787,
1812,7/24/2018 7:30,12.787,
1813,7/24/2018 8:00,12.787,
1814,7/24/2018 8:30,12.883,
1815,7/24/2018 9:00,12.69,
1816,7/24/2018 9:30,12.98,
1817,7/24/2018 10:00,12.98,
1818,7/24/2018 10:30,13.076,
1819,7/24/2018 11:00,13.076,
1820,7/24/2018 11:30,12.98,
1821,7/24/2018 12:00,12.98,
1822,7/24/2018 12:30,12.594,
1823,7/24/2018 13:00,12.787,
1824,7/24/2018 13:30,12.883,
1825,7/24/2018 14:00,12.883,
1826,7/24/2018 14:30,12.98,
1827,7/24/2018 15:00,12.497,
1828,7/24/2018 15:30,12.11,
1829,7/24/2018 16:00,12.594,
1830,7/24/2018 16:30,11.916,
1831,7/24/2018 17:00,12.207,
1832,7/24/2018 17:30,12.304,
1833,7/24/2018 18:00,12.401,
1834,7/24/2018 18:30,12.401,
1835,7/24/2018 19:00,12.69,
1836,7/24/2018 19:30,12.69,
1837,7/24/2018 20:00,12.98,
1838,7/24/2018 20:30,12.98,
1839,7/24/2018 21:00,12.883,
1840,7/24/2018 21:30,12.883,
1841,7/24/2018 22:00,12.883,
1842,7/24/2018 22:30,12.787,
1843,7/24/2018 23:00,12.883,
1844,7/24/2018 23:30,12.98,
1845,7/25/2018 0:00,13.076,
1846,7/25/2018 0:30,12.98,
1847,7/25/2018 1:00,12.98,
1848,7/25/2018 1:30,12.883,
1849,7/25/2018 2:00,12.69,
1850,7/25/2018 2:30,12.497,
1851,7/25/2018 3:00,12.594,
1852,7/25/2018 3:30,12.304,
1853,7/25/2018 4:00,12.304,
1854,7/25/2018 4:30,12.304,
1855,7/25/2018 5:00,12.401,
1856,7/25/2018 5:30,12.594,
1857,7/25/2018 6:00,12.787,
1858,7/25/2018 6:30,12.787,
1859,7/25/2018 7:00,12.787,
1860,7/25/2018 7:30,12.69,
1861,7/25/2018 8:00,12.69,
1862,7/25/2018 8:30,12.787,
1863,7/25/2018 9:00,12.787,
1864,7/25/2018 9:30,12.883,
1865,7/25/2018 10:00,13.269,
1866,7/25/2018 10:30,13.173,
1867,7/25/2018 11:00,13.269,
1868,7/25/2018 11:30,13.269,
1869,7/25/2018 12:00,13.076,
1870,7/25/2018 12:30,12.98,
1871,7/25/2018 13:00,12.787,
1872,7/25/2018 13:30,12.69,
1873,7/25/2018 14:00,12.883,
1874,7/25/2018 14:30,13.076,
1875,7/25/2018 15:00,12.98,
1876,7/25/2018 15:30,12.883,
1877,7/25/2018 16:00,12.11,
1878,7/25/2018 16:30,12.11,
1879,7/25/2018 17:00,12.401,
1880,7/25/2018 17:30,12.207,
1881,7/25/2018 18:00,12.787,
1882,7/25/2018 18:30,12.497,
1883,7/25/2018 19:00,12.497,
1884,7/25/2018 19:30,12.98,
1885,7/25/2018 20:00,12.98,
1886,7/25/2018 20:30,13.076,
1887,7/25/2018 21:00,13.269,
1888,7/25/2018 21:30,13.269,
