Plot Title: Santa Marta,,,,,,
#,"Date Time, GMT-05:00","Temp, øF (LGR S/N: 20350662, SEN S/N: 20350662)",Coupler Attached (LGR S/N: 20350662),Host Connected (LGR S/N: 20350662),Stopped (LGR S/N: 20350662),End Of File (LGR S/N: 20350662)
146,8/5/2018 19:00,82.864,,,,
147,8/5/2018 19:30,83.043,,,,
148,8/5/2018 20:00,82.864,,,,
149,8/5/2018 20:30,82.864,,,,
150,8/5/2018 21:00,82.864,,,,
151,8/5/2018 21:30,82.864,,,,
152,8/5/2018 22:00,82.864,,,,
153,8/5/2018 22:30,82.686,,,,
154,8/5/2018 23:00,82.508,,,,
155,8/5/2018 23:30,82.508,,,,
156,8/6/2018 0:00,81.442,,,,
157,8/6/2018 0:30,81.266,,,,
158,8/6/2018 1:00,81.09,,,,
159,8/6/2018 1:30,81.09,,,,
160,8/6/2018 2:00,80.911,,,,
161,8/6/2018 2:30,81.266,,,,
162,8/6/2018 3:00,81.797,,,,
163,8/6/2018 3:30,81.797,,,,
164,8/6/2018 4:00,81.797,,,,
165,8/6/2018 4:30,81.621,,,,
166,8/6/2018 5:00,81.621,,,,
167,8/6/2018 5:30,81.621,,,,
168,8/6/2018 6:00,81.621,,,,
169,8/6/2018 6:30,81.797,,,,
170,8/6/2018 7:00,81.621,,,,
171,8/6/2018 7:30,81.442,,,,
172,8/6/2018 8:00,81.442,,,,
173,8/6/2018 8:30,81.442,,,,
174,8/6/2018 9:00,81.442,,,,
175,8/6/2018 9:30,81.442,,,,
176,8/6/2018 10:00,81.621,,,,
177,8/6/2018 10:30,81.797,,,,
178,8/6/2018 11:00,82.33,,,,
179,8/6/2018 11:30,82.864,,,,
180,8/6/2018 12:00,82.686,,,,
181,8/6/2018 12:30,82.864,,,,
182,8/6/2018 13:00,82.864,,,,
183,8/6/2018 13:30,82.864,,,,
184,8/6/2018 14:00,83.399,,,,
185,8/6/2018 14:30,83.579,,,,
186,8/6/2018 15:00,83.221,,,,
187,8/6/2018 15:30,83.399,,,,
188,8/6/2018 16:00,83.579,,,,
189,8/6/2018 16:30,83.579,,,,
190,8/6/2018 17:00,83.399,,,,
191,8/6/2018 17:30,83.579,,,,
192,8/6/2018 18:00,83.579,,,,
193,8/6/2018 18:30,83.579,,,,
194,8/6/2018 19:00,83.399,,,,
195,8/6/2018 19:30,83.399,,,,
196,8/6/2018 20:00,83.221,,,,
197,8/6/2018 20:30,83.043,,,,
198,8/6/2018 21:00,83.043,,,,
199,8/6/2018 21:30,82.864,,,,
200,8/6/2018 22:00,82.864,,,,
201,8/6/2018 22:30,82.686,,,,
202,8/6/2018 23:00,82.508,,,,
203,8/6/2018 23:30,82.508,,,,
204,8/7/2018 0:00,82.33,,,,
205,8/7/2018 0:30,82.152,,,,
206,8/7/2018 1:00,81.975,,,,
207,8/7/2018 1:30,81.975,,,,
208,8/7/2018 2:00,81.797,,,,
209,8/7/2018 2:30,81.797,,,,
210,8/7/2018 3:00,81.797,,,,
211,8/7/2018 3:30,81.621,,,,
212,8/7/2018 4:00,81.621,,,,
213,8/7/2018 4:30,81.442,,,,
214,8/7/2018 5:00,81.442,,,,
215,8/7/2018 5:30,81.442,,,,
216,8/7/2018 6:00,81.442,,,,
217,8/7/2018 6:30,81.442,,,,
218,8/7/2018 7:00,81.442,,,,
219,8/7/2018 7:30,81.266,,,,
220,8/7/2018 8:00,81.266,,,,
221,8/7/2018 8:30,81.442,,,,
222,8/7/2018 9:00,81.266,,,,
223,8/7/2018 9:30,81.266,,,,
224,8/7/2018 10:00,81.266,,,,
225,8/7/2018 10:30,81.266,,,,
226,8/7/2018 11:00,81.266,,,,
227,8/7/2018 11:30,81.975,,,,
228,8/7/2018 12:00,82.33,,,,
229,8/7/2018 12:30,82.152,,,,
230,8/7/2018 13:00,82.864,,,,
231,8/7/2018 13:30,82.864,,,,
232,8/7/2018 14:00,82.686,,,,
233,8/7/2018 14:30,83.043,,,,
234,8/7/2018 15:00,82.864,,,,
235,8/7/2018 15:30,83.043,,,,
236,8/7/2018 16:00,83.399,,,,
237,8/7/2018 16:30,83.579,,,,
238,8/7/2018 17:00,83.757,,,,
239,8/7/2018 17:30,83.757,,,,
240,8/7/2018 18:00,83.757,,,,
241,8/7/2018 18:30,83.579,,,,
242,8/7/2018 19:00,82.864,,,,
243,8/7/2018 19:30,82.864,,,,
244,8/7/2018 20:00,82.864,,,,
245,8/7/2018 20:30,82.686,,,,
246,8/7/2018 21:00,82.686,,,,
247,8/7/2018 21:30,82.508,,,,
248,8/7/2018 22:00,82.508,,,,
249,8/7/2018 22:30,82.33,,,,
250,8/7/2018 23:00,82.33,,,,
251,8/7/2018 23:30,82.152,,,,
252,8/8/2018 0:00,81.975,,,,
253,8/8/2018 0:30,81.975,,,,
254,8/8/2018 1:00,81.797,,,,
255,8/8/2018 1:30,81.621,,,,
256,8/8/2018 2:00,81.621,,,,
257,8/8/2018 2:30,81.621,,,,
258,8/8/2018 3:00,81.442,,,,
259,8/8/2018 3:30,81.442,,,,
260,8/8/2018 4:00,81.442,,,,
261,8/8/2018 4:30,81.266,,,,
262,8/8/2018 5:00,81.266,,,,
263,8/8/2018 5:30,81.09,,,,
264,8/8/2018 6:00,81.09,,,,
265,8/8/2018 6:30,80.911,,,,
266,8/8/2018 7:00,80.911,,,,
267,8/8/2018 7:30,80.911,,,,
268,8/8/2018 8:00,80.911,,,,
269,8/8/2018 8:30,81.09,,,,
270,8/8/2018 9:00,81.266,,,,
271,8/8/2018 9:30,81.442,,,,
272,8/8/2018 10:00,81.621,,,,
273,8/8/2018 10:30,81.797,,,,
274,8/8/2018 11:00,81.975,,,,
275,8/8/2018 11:30,82.152,,,,
276,8/8/2018 12:00,82.508,,,,
277,8/8/2018 12:30,82.686,,,,
278,8/8/2018 13:00,82.864,,,,
